0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:26:35 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:28:30 +0530] "GET /Day01/jq2.html HTTP/1.1" 200 579
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:28:35 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:28:57 +0530] "GET /Day01/jq2.html HTTP/1.1" 200 576
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:29:00 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:29:22 +0530] "GET /Day01/jq2.html HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:29:22 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:29:23 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:29:38 +0530] "GET /Day01/jq2.html HTTP/1.1" 200 586
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:29:40 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:31:01 +0530] "GET /Day01/jq2.html HTTP/1.1" 200 770
0:0:0:0:0:0:0:1 - - [20/Jul/2012:15:31:03 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:13:55 +0530] "GET /Day01/lab04.html HTTP/1.1" 200 1351
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:13:55 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:13:55 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:14:16 +0530] "GET /Day01/lab04.html HTTP/1.1" 200 1387
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:14:16 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:43:22 +0530] "GET /Day01/ajax.html HTTP/1.1" 200 409
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:43:22 +0530] "GET /Day01/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:43:22 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:43:23 +0530] "GET /Day01/banca.txt HTTP/1.1" 200 16
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:44:21 +0530] "GET /Day01/ajax.html HTTP/1.1" 200 486
0:0:0:0:0:0:0:1 - - [20/Jul/2012:16:44:21 +0530] "GET /favicon.ico HTTP/1.1" 404 986
